name=Untitled;grid_size_id=3;editable=1
"BPPlayer":Tag{tag=BPPlayer}Position{position=(360,2400)}Charge{charge=10000}Velocity{velocity=(0,0)}Player{can_switch_charge=1;can_go_neutral=1;move_force=0}
"BPGoal":Tag{tag=BPGoal}Position{position=(7320,360)}WidthAndHeight{width_and_height=(360,360)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(2160,960)}Charge{charge=10000}
"BPLaser":Tag{tag=BPLaser}Position{position=(7080,60)}WidthAndHeight{width_and_height=(948,60)}
"BPWall":Tag{tag=BPWall}Position{position=(1920,4260)}WidthAndHeight{width_and_height=(1680,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(7620,600)}WidthAndHeight{width_and_height=(60,948)}
"BPLaser":Tag{tag=BPLaser}Position{position=(7080,4260)}WidthAndHeight{width_and_height=(948,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(7620,3720)}WidthAndHeight{width_and_height=(60,948)}
"BPLaser":Tag{tag=BPLaser}Position{position=(600,4260)}WidthAndHeight{width_and_height=(948,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(60,3720)}WidthAndHeight{width_and_height=(60,948)}
"BPLaser":Tag{tag=BPLaser}Position{position=(600,60)}WidthAndHeight{width_and_height=(948,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(60,600)}WidthAndHeight{width_and_height=(60,948)}
"BPWall":Tag{tag=BPWall}Position{position=(60,60)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(7620,60)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(7620,4260)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(60,4260)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(60,2160)}WidthAndHeight{width_and_height=(120,2160)}
"BPWall":Tag{tag=BPWall}Position{position=(7620,2160)}WidthAndHeight{width_and_height=(120,2160)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3840,4260)}WidthAndHeight{width_and_height=(2148,60)}
"BPWall":Tag{tag=BPWall}Position{position=(1980,1140)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(2160,780)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(2160,1140)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(2340,960)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1980,960)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(2340,1140)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(2340,780)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(1980,780)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5760,4260)}WidthAndHeight{width_and_height=(1680,120)}
"BPWall":Tag{tag=BPWall}Position{position=(1920,60)}WidthAndHeight{width_and_height=(1680,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3840,60)}WidthAndHeight{width_and_height=(2148,60)}
"BPWall":Tag{tag=BPWall}Position{position=(5760,60)}WidthAndHeight{width_and_height=(1680,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(1204,3344)}Charge{charge=10000}
"BPWall":Tag{tag=BPWall}Position{position=(1024,3524)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1204,3164)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1204,3524)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1384,3344)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1024,3344)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(1384,3524)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(1384,3164)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(1024,3164)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(5032,2168)}Charge{charge=10000}
"BPWall":Tag{tag=BPWall}Position{position=(4852,2348)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5032,1988)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5032,2348)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5212,2168)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(4852,2168)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(5212,2348)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5212,1988)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4852,1988)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(6720,3360)}Charge{charge=-10000}
"BPWall":Tag{tag=BPWall}Position{position=(6548,3532)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(6728,3172)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(6728,3532)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(6908,3352)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(6548,3352)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(6908,3532)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(6908,3172)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(6548,3172)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(5400,600)}Charge{charge=10000}
"BPWall":Tag{tag=BPWall}Position{position=(5220,772)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5400,412)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5400,772)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5580,592)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5220,592)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(5580,772)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5580,412)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5220,412)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(3120,2640)}Charge{charge=-10000}
"BPWall":Tag{tag=BPWall}Position{position=(2940,2820)}WidthAndHeight{width_and_height=(120,120)}
