name=Untitled;grid_size_id=2;editable=1
"BPPlayer":Tag{tag=BPPlayer}Position{position=(960,1680)}Charge{charge=10000}Velocity{velocity=(451.85,-287.811)}Player{can_switch_charge=1;can_go_neutral=1;move_force=0}
"BPWall":Tag{tag=BPWall}Position{position=(4380,1980)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,1320)}
"BPWall":Tag{tag=BPWall}Position{position=(2220,1980)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(3240,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3780,2340)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,600)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(4080,2880)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,480)}
"BPWall":Tag{tag=BPWall}Position{position=(2880,3180)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(5760,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3060,2580)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(1320,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(2160,2580)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,1080)}
"BPCoin":Tag{tag=BPCoin}Position{position=(2820,2280)}
"BPWall":Tag{tag=BPWall}Position{position=(1860,2580)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3660,2280)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,480)}
"BPWall":Tag{tag=BPWall}Position{position=(5100,2580)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(5400,2580)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,1080)}
"BPWall":Tag{tag=BPWall}Position{position=(5700,2280)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,1920)}
"BPWall":Tag{tag=BPWall}Position{position=(4980,1980)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(4680,1980)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,1080)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(5400,1620)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,600)}
"BPWall":Tag{tag=BPWall}Position{position=(5100,1380)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPCoin":Tag{tag=BPCoin}Position{position=(5040,1680)}
"BPLaser":Tag{tag=BPLaser}Position{position=(4740,2580)}WidthAndHeight{width_and_height=(600,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5340,1980)}WidthAndHeight{width_and_height=(600,60)}
